anio,mes,mes_nombre,indice_ipc_base_dic2018_100
2003,1,Enero,50.42
2003,2,Febrero,50.98
2003,3,Marzo,51.51
2003,4,Abril,52.1
2003,5,Mayo,52.36
2003,6,Junio,52.33
2003,7,Julio,52.26
2003,8,Agosto,52.42
2003,9,Septiembre,52.53
2003,10,Octubre,52.56
2003,11,Noviembre,52.75
2003,12,Diciembre,53.07
2004,1,Enero,53.54
2004,2,Febrero,54.18
2004,3,Marzo,54.71
2004,4,Abril,54.96
2004,5,Mayo,55.17
2004,6,Junio,55.51
2004,7,Julio,55.49
2004,8,Agosto,55.51
2004,9,Septiembre,55.67
2004,10,Octubre,55.66
2004,11,Noviembre,55.82
2004,12,Diciembre,55.99
2005,1,Enero,56.45
2005,2,Febrero,57.02
2005,3,Marzo,57.46
2005,4,Abril,57.72
2005,5,Mayo,57.95
2005,6,Junio,58.18
2005,7,Julio,58.21
2005,8,Agosto,58.21
2005,9,Septiembre,58.46
2005,10,Octubre,58.6
2005,11,Noviembre,58.66
2005,12,Diciembre,58.7
2006,1,Enero,59.02
2006,2,Febrero,59.41
2006,3,Marzo,59.83
2006,4,Abril,60.09
2006,5,Mayo,60.29
2006,6,Junio,60.48
2006,7,Julio,60.73
2006,8,Agosto,60.96
2006,9,Septiembre,61.14
2006,10,Octubre,61.05
2006,11,Noviembre,61.19
2006,12,Diciembre,61.33
2007,1,Enero,61.8
2007,2,Febrero,62.53
2007,3,Marzo,63.29
2007,4,Abril,63.85
2007,5,Mayo,64.05
2007,6,Junio,64.12
2007,7,Julio,64.23
2007,8,Agosto,64.14
2007,9,Septiembre,64.2
2007,10,Octubre,64.2
2007,11,Noviembre,64.51
2007,12,Diciembre,64.82
2008,1,Enero,65.51
2008,2,Febrero,66.5
2008,3,Marzo,67.04
2008,4,Abril,67.51
2008,5,Mayo,68.14
2008,6,Junio,68.73
2008,7,Julio,69.06
2008,8,Agosto,69.19
2008,9,Septiembre,69.06
2008,10,Octubre,69.3
2008,11,Noviembre,69.49
2008,12,Diciembre,69.8
2009,1,Enero,70.21
2009,2,Febrero,70.8
2009,3,Marzo,71.15
2009,4,Abril,71.38
2009,5,Mayo,71.39
2009,6,Junio,71.35
2009,7,Julio,71.32
2009,8,Agosto,71.35
2009,9,Septiembre,71.28
2009,10,Octubre,71.19
2009,11,Noviembre,71.14
2009,12,Diciembre,71.2
2010,1,Enero,71.69
2010,2,Febrero,72.28
